f si sl ac k2
572 7.0 2.915622 6.966599 0.749835
573 8.0 2.911303 6.587602 0.746953
574 8.0 3.619344 6.928667 0.747063
575 8.0 4.090588 6.788453 0.747016
576 6.0 2.91832 6.718605 0.743266
577 6.0 3.258509 6.599549 0.745092
578 7.0 3.252239 6.663737 0.744519
579 7.0 2.707472 6.948679 0.745965
580 5.0 3.459789 6.729459 0.748909
581 5.0 2.88417 6.491395 0.751274
582 5.0 3.467536 6.482174 0.749154
583 6.0 3.788406 6.548918 0.748419
584 6.0 3.180696 6.606081 0.74664
585 6.0 3.071701 6.75676 0.747392
586 6.0 3.197739 6.448547 0.746621
587 5.0 3.068842 6.228575 0.749841
588 7.0 3.170068 6.37661 0.750805
589 7.0 3.039297 6.790354 0.740429
590 8.0 3.634574 6.749948 0.746817
591 5.0 3.65936 6.723886 0.749799
592 7.0 3.300583 6.70042 0.752498
593 5.0 3.046022 6.824693 0.749825
594 5.0 2.732469 6.996832 0.750089
595 4.0 2.968007 7.044729 0.743626
596 5.0 3.381358 6.690966 0.750708
597 9.0 3.312691 6.85775 0.752291
598 3.0 2.850041 7.057906 0.746363
599 6.0 2.335694 7.160036 0.743652
600 6.0 2.820007 6.995528 0.744737
601 8.0 2.770693 6.912272 0.747074
602 6.0 2.689337 6.759257 0.747602
603 8.0 2.571941 6.791645 0.750995
604 8.0 2.887047 6.845423 0.74738
605 6.0 3.119367 7.007908 0.746157
606 7.0 3.124988 6.998249 0.749877
607 4.0 2.193242 6.871739 0.746597
608 7.0 2.929411 6.667504 0.745664
609 5.0 3.011291 6.585433 0.750886
610 7.0 2.384787 6.562553 0.748058
611 7.0 3.129513 6.549672 0.752165
612 5.0 2.837889 6.845114 0.752174
613 6.0 2.638524 6.874303 0.752897
614 6.0 2.287247 6.58659 0.747158
615 6.0 2.485304 6.626096 0.747208
616 7.0 2.7533 6.681703 0.745988
617 5.0 2.455303 6.399049 0.741924
618 6.0 3.037321 6.311741 0.739803
619 8.0 2.435415 6.063533 0.741398
620 5.0 2.595068 6.353255 0.74405
621 5.0 3.318111 6.372833 0.745092
622 7.0 2.971886 6.348521 0.740675
623 7.0 2.681886 6.055322 0.740005
624 7.0 2.884985 5.863035 0.739154
625 5.0 2.818702 5.908721 0.741836
626 7.0 2.328654 5.992791 0.740402
627 6.0 2.805255 6.084703 0.744041
628 8.0 3.110561 5.933553 0.742385
629 8.0 2.589555 6.104039 0.741805
630 7.0 2.524731 5.838057 0.742079
631 8.0 2.404494 6.034702 0.739474
632 8.0 2.798066 6.186735 0.742095
633 9.0 3.047522 6.028978 0.743176
634 10.0 3.226502 6.009619 0.743855
635 9.0 2.904842 5.930649 0.74695
636 8.0 3.334563 5.953704 0.749688
637 8.0 3.995787 5.81359 0.754482
638 8.0 3.788058 5.288432 0.755833
639 9.0 3.97387 5.361141 0.75128
640 8.0 3.227456 5.352584 0.755786
641 11.0 3.373893 5.432584 0.753729
642 8.0 3.494568 5.791736 0.748092
643 10.0 3.273602 5.774684 0.749137
644 9.0 3.224989 5.707987 0.749724
645 10.0 2.922676 5.687669 0.752509
646 12.0 2.804263 5.607906 0.747104
647 10.0 2.896804 5.576344 0.747746
648 11.0 3.104634 5.317543 0.750162
649 9.0 3.195583 5.634554 0.74957
650 7.0 3.251566 5.481699 0.748887
651 9.0 2.775486 5.883611 0.746779
652 8.0 3.575704 5.836215 0.743784
653 10.0 3.319925 5.662346 0.743564
654 7.0 3.273152 5.819207 0.737445
655 10.0 2.877512 5.676136 0.739944
656 7.0 3.212454 6.358932 0.74628
657 9.0 3.022685 6.536774 0.746355
658 8.0 2.572237 6.318355 0.743181
659 10.0 2.586224 6.659585 0.735931
660 12.0 2.729801 6.518119 0.742893
661 11.0 2.971738 6.68281 0.7406
662 11.0 2.473344 6.738639 0.737616
663 9.0 2.348293 6.673551 0.739968
664 9.0 3.005328 6.966383 0.741324
